iter	Accuracy	MultiClass	Precision:class=0	Precision:class=1
0	0.7208956444	0.6356275215	0.6356605931	0.7329220831
1	0.7222066171	0.6010666189	0.6044750672	0.7457813054
2	0.7221936496	0.5790804284	0.6289068182	0.7367732696
3	0.7230367463	0.564736332	0.6107680104	0.7445970002
4	0.7232030232	0.5553797041	0.6117216642	0.7445121834
5	0.724020185	0.5491146229	0.6144346825	0.7449305813
6	0.7241423305	0.5447772549	0.6183171813	0.7436276044
7	0.7243803469	0.5420616613	0.6159754144	0.74497699
8	0.7244679821	0.5397094715	0.6193323777	0.7438324282
9	0.7247089266	0.5383903419	0.620302676	0.7439019952
10	0.7248758309	0.5372543783	0.6167861643	0.7455678056
11	0.725117403	0.5360860482	0.6180704569	0.7454997371
12	0.725196672	0.5354517386	0.6188018455	0.7453567506
13	0.7255806774	0.5348075989	0.6182276077	0.7462875626
14	0.7255683374	0.5343490304	0.6194760041	0.7457697255
15	0.7260324485	0.5336539095	0.6196592476	0.7465432396
16	0.7263811069	0.5331762558	0.620486229	0.7468505191
17	0.7265264684	0.5328611141	0.6208508058	0.7469704727
18	0.7265593055	0.5326438561	0.620628509	0.74711831
19	0.7270792605	0.531959925	0.6215504433	0.7476967264
20	0.7274254092	0.5314998401	0.6223702629	0.7479982942
21	0.7277443679	0.5312084373	0.6234316148	0.7481545575
22	0.7278642127	0.5309555187	0.6232021023	0.7484612591
23	0.7280560062	0.5306764037	0.6239326797	0.748517864
24	0.7282816826	0.5303607915	0.6243984044	0.7487398377
25	0.728418678	0.5301012846	0.6244832032	0.7489523924
26	0.7286119356	0.5298796344	0.6249450626	0.7491169061
27	0.7287395191	0.5297207302	0.6253113678	0.7492011819
28	0.7288014284	0.5296320492	0.6254663772	0.7492509993
29	0.7289080966	0.5294913414	0.6254566209	0.7494457569
30	0.7290149739	0.5293616141	0.6257197091	0.7495332613
31	0.7291026091	0.5291895855	0.6258381626	0.7496432987
32	0.7292253821	0.5290204851	0.6260840216	0.7497658101
33	0.7293063244	0.5288475154	0.6255738288	0.7501133744
34	0.7293738809	0.5287512526	0.6256289576	0.7502126739
35	0.7294569147	0.5286164533	0.6255842994	0.7503798138
36	0.7295259353	0.5285061772	0.6256612784	0.7504730117
37	0.7295786419	0.528423614	0.6258471603	0.7504930957
38	0.7296928396	0.5282998475	0.6260328701	0.7506236865
39	0.7297854945	0.5282088136	0.6262779773	0.7506916572
40	0.7299743599	0.5279750325	0.6267208673	0.7508527763
41	0.7300935773	0.5278131479	0.6267823446	0.7510417212
42	0.7301483754	0.5277315259	0.6268841059	0.7510990584
