iter	Passed	Remaining
0	144	144190
1	208	104277
2	277	92093
3	338	84238
4	398	79232
5	465	77175
6	531	75405
7	593	73592
8	662	73000
9	719	71251
10	778	70029
11	842	69377
12	896	68085
13	957	67460
14	1020	67032
15	1093	67275
16	1169	67650
17	1233	67288
18	1293	66783
19	1371	67213
20	1449	67556
21	1522	67689
22	1590	67572
23	1667	67810
24	1734	67638
25	1791	67110
26	1865	67211
27	1936	67211
28	1993	66763
29	2051	66331
30	2117	66194
31	2189	66241
32	2258	66180
33	2326	66111
34	2383	65727
35	2445	65475
36	2510	65333
37	2564	64920
38	2624	64660
39	2682	64375
40	2760	64565
41	2830	64568
42	2886	64243
43	2949	64094
44	3018	64054
45	3078	63843
46	3139	63658
47	3196	63387
48	3260	63284
49	3327	63213
50	3382	62947
51	3454	62977
52	3517	62852
53	3573	62601
54	3638	62518
55	3702	62420
56	3765	62296
57	3829	62203
58	3887	61996
59	3944	61797
60	4010	61727
61	4071	61595
62	4134	61491
63	4193	61336
64	4260	61283
65	4319	61127
66	4387	61097
67	4448	60967
68	4516	60940
69	4574	60776
70	4639	60703
71	4695	60516
72	4760	60451
73	4819	60303
74	4882	60220
75	4949	60170
76	5007	60028
77	5069	59923
78	5128	59791
79	5192	59713
80	5264	59727
81	5335	59726
82	5399	59649
83	5464	59584
84	5525	59483
85	5577	59276
86	5637	59156
87	5702	59094
88	5765	59014
89	5823	58879
90	5892	58861
91	5957	58798
92	6014	58658
93	6086	58659
94	6142	58510
95	6209	58476
96	6273	58397
97	6332	58282
98	6395	58208
99	6453	58080
100	6518	58017
101	6582	57948
102	6653	57940
103	6724	57934
104	6793	57904
105	6868	57929
106	6938	57908
107	7009	57890
108	7082	57891
109	7140	57770
110	7197	57642
111	7260	57563
112	7330	57541
113	7395	57475
114	7464	57445
115	7528	57375
116	7591	57295
117	7659	57254
118	7718	57145
119	7785	57091
120	7836	56929
121	7894	56812
122	7953	56706
123	8019	56652
