iter	Accuracy	MultiClass
0	0.7564566822	0.9727108297
1	0.7570716043	0.8880939843
2	0.7597362667	0.827190273
3	0.7599412408	0.7815424483
4	0.7599412408	0.7464167576
5	0.7599754031	0.7186517166
6	0.7601803772	0.6957958437
7	0.7602487018	0.6777234324
8	0.7608636239	0.6632606191
9	0.7618543318	0.6499694007
10	0.7623667669	0.6397160282
11	0.7636307734	0.6307865131
12	0.7645873189	0.6235468996
13	0.7649631047	0.6166022698
14	0.7659538125	0.6112577986
15	0.7674911178	0.6064822105
16	0.7677644165	0.6018018365
17	0.7689942607	0.5979428267
18	0.7697116699	0.5932965483
19	0.7707023777	0.5892596541
20	0.7710440011	0.5854626301
21	0.7722738453	0.582105046
22	0.7733328778	0.5790762076
23	0.7742210987	0.5762730943
24	0.7752118065	0.5731863401
25	0.7764074884	0.5704904511
26	0.7771932222	0.5682414082
27	0.7783889041	0.5661609084
28	0.7792088002	0.5630272477
29	0.779892047	0.5611574601
30	0.7804044821	0.5590626815
31	0.7813268653	0.5573027205
32	0.7819417874	0.5554305309
33	0.7828641705	0.5535596757
34	0.783615742	0.5512631925
35	0.7847772615	0.5493102677
36	0.7854605083	0.5474598633
37	0.7858704564	0.5455447038
38	0.7865537032	0.5436594031
39	0.7875102487	0.5418324185
40	0.7880226838	0.5402256209
41	0.7887400929	0.5385972049
42	0.7891842033	0.5370776481
43	0.7905165346	0.534905337
44	0.7908923203	0.5331423401
45	0.7912339437	0.5316812328
46	0.7920538398	0.5302352384
47	0.7924296256	0.5288484609
48	0.7930103854	0.5275205668
49	0.7940352555	0.525697252
50	0.7943768789	0.524519452
51	0.7945476906	0.5229208947
52	0.7948209893	0.5215437254
53	0.7952992621	0.5203269256
54	0.7956067231	0.5191221693
55	0.7963582946	0.5177648168
56	0.7969732167	0.5162940347
57	0.7977247882	0.5151088618
58	0.7986813337	0.5139056068
59	0.7989546324	0.512805039
60	0.7993304181	0.5116032186
61	0.7999111779	0.5104752942
62	0.800628587	0.5094915923
63	0.8007993987	0.5084466718
64	0.8013118338	0.5072577957
65	0.8018584313	0.5063130268
66	0.8024050287	0.5049222126
67	0.8027808144	0.503754688
68	0.8031224378	0.502760277
69	0.8030882755	0.5017960583
70	0.8036007106	0.5008337746
71	0.8039764963	0.4999483562
72	0.8041814703	0.4990995688
73	0.8044547691	0.4981374853
74	0.8047280678	0.4974090668
75	0.8050355288	0.4964713373
76	0.8054113146	0.4955835835
77	0.805752938	0.4947446378
78	0.8064703471	0.4940533509
79	0.8065728341	0.493099908
80	0.8069486198	0.4922372089
81	0.8072902432	0.4913531249
82	0.8075977043	0.490446722
83	0.807871003	0.4895626713
84	0.8082467887	0.4885272255
85	0.8085542498	0.4876663946
86	0.8089641979	0.4869130216
87	0.8094424706	0.4861366958
88	0.809681607	0.4854469101
89	0.8099890681	0.4849317727
90	0.8099549057	0.4841781996
91	0.8100915551	0.4833563017
92	0.8103648538	0.4824535019
93	0.8108431265	0.4815442632
94	0.8111164253	0.481037166
95	0.8111505876	0.4803682313
