iter	Passed	Remaining
0	1272	1271047
1	1956	976332
2	2602	864901
3	3283	817712
4	3931	782373
5	4529	750370
6	5181	735066
7	5847	725055
8	6436	708735
9	7120	704965
10	7750	696818
11	8332	686077
12	8871	673548
13	9380	660639
14	9910	650789
15	10457	643122
16	11057	639383
17	11571	631279
18	12172	628482
19	12752	624879
20	13307	620370
21	13887	617340
22	14492	615631
23	14964	608536
24	15502	604599
25	16005	599587
26	16527	595609
27	17022	590925
28	17628	590258
29	18101	585281
30	18686	584096
31	19194	580638
32	19655	575972
33	20185	573499
34	20727	571477
35	21212	568019
36	21685	564399
37	22198	561969
38	22701	559392
39	23257	558189
40	23721	554842
41	24284	553923
42	24768	551235
43	25340	550574
44	25879	549217
45	26344	546356
46	26802	543455
47	27276	540984
48	27735	538294
49	28307	537850
50	28743	534858
51	29265	533537
52	29754	531658
53	30286	530579
54	30732	528048
55	31278	527272
56	31773	525660
57	32374	525813
58	32858	524069
59	33311	521883
60	33803	520354
61	34319	519216
62	34752	516872
63	35252	515574
64	35774	514605
65	36211	512443
66	36798	512431
67	37317	511475
68	37825	510374
69	38332	509278
70	38811	507831
71	39230	505631
72	39723	504432
73	40167	502635
74	40584	500542
75	41071	499342
76	41544	497994
77	42007	496544
78	42423	494586
79	42909	493464
80	43380	492186
81	43836	490758
82	44290	489330
83	44740	487879
84	45284	487479
85	45779	486543
86	46228	485129
87	46651	483481
88	47099	482109
89	47524	480525
90	47985	479324
91	48443	478117
92	49013	478015
93	49566	477738
94	49983	476160
95	50406	474661
