iter	SMAPE	RMSE
0	168.7072259	0.9349765342
1	150.2705604	0.8827027814
2	137.4311081	0.8372133488
3	127.0555214	0.7974298411
4	119.0415202	0.7638247904
5	113.2112765	0.7341946607
6	108.4023549	0.7089420648
7	104.5141287	0.6875751105
8	101.385665	0.6688729198
9	98.92186574	0.6530416932
10	96.89534548	0.6396733605
11	94.96217286	0.6279689935
12	93.49861547	0.618143022
13	92.15643618	0.6097299309
14	91.04461806	0.6023829997
15	90.15122419	0.5962012813
16	89.34372331	0.5910003467
17	88.64018014	0.5863755461
18	88.09627788	0.5824786382
19	87.60747967	0.5792180137
20	87.104842	0.5761842674
21	86.67587887	0.5735471778
22	86.26085822	0.5712266896
23	85.94828247	0.5693201508
24	85.72216586	0.5677018146
25	85.40020762	0.5662079095
26	85.23286981	0.5650099218
27	85.08500945	0.5639686595
28	84.88376947	0.5629521776
29	84.69732941	0.5620126352
30	84.52932549	0.5611995745
31	84.37089351	0.5604763723
32	84.24369625	0.5598566424
33	84.14761829	0.5592845376
34	84.04946285	0.5586849201
35	83.99034113	0.5582272014
36	83.91708231	0.5577513899
37	83.8651014	0.5573347972
38	83.8412423	0.5569798923
39	83.76873183	0.5566322665
40	83.72376808	0.556282873
41	83.70256599	0.5560064817
42	83.66742493	0.5557838869
43	83.58265737	0.5554931804
44	83.527116	0.5552215728
45	83.48266182	0.5550140321
46	83.43395342	0.5547968047
47	83.40388731	0.5545690866
48	83.357901	0.5543616683
49	83.29761613	0.554188833
50	83.30592936	0.5540649694
51	83.26040981	0.553874681
52	83.21563377	0.5537209151
53	83.15801921	0.55351451
54	83.12922597	0.5533657076
55	83.10088022	0.5532220531
56	83.10467103	0.5531206851
57	83.09348786	0.5530136235
58	83.07205621	0.5528957609
59	83.01951869	0.5527381358
60	83.02078986	0.5526605777
61	82.99491188	0.5525221026
62	82.98787826	0.5524342888
63	82.97323621	0.5523332733
64	82.964086	0.552266094
65	82.93887421	0.5521187692
66	82.91116448	0.5520075321
67	82.89403398	0.5519151985
68	82.88399399	0.5518486648
69	82.84992762	0.5517407253
70	82.83198981	0.5516406783
71	82.80691496	0.5515436165
72	82.79772528	0.5514360621
73	82.78046814	0.5513630571
74	82.77160926	0.5512809363
75	82.76934358	0.551193733
76	82.72711745	0.5510585586
77	82.70454266	0.55097531
78	82.70479671	0.5509331606
79	82.69061291	0.5508516389
80	82.66173691	0.5507658188
81	82.61816823	0.5506520895
82	82.61824731	0.550617222
83	82.59807027	0.5505262101
84	82.58796219	0.5504619987
85	82.58406039	0.550390946
86	82.5416543	0.550273859
87	82.53403717	0.5502073971
88	82.52994643	0.5501297731
89	82.52042484	0.5500483146
90	82.51530014	0.5500104285
91	82.49923222	0.5499470744
92	82.47872998	0.5498521926
93	82.46304126	0.5497760783
94	82.45881321	0.5497423816
95	82.47161348	0.5496864225
96	82.43613297	0.5495891089
97	82.43845635	0.54952326
98	82.42401542	0.549451087
99	82.42613242	0.549401729
100	82.41268288	0.5493232163
101	82.39706045	0.5492819684
102	82.39137297	0.5492331601
103	82.3912315	0.549205281
104	82.38007009	0.5491526722
105	82.35879971	0.5490922859
106	82.34759325	0.5490538424
107	82.34207047	0.549011756
108	82.34385059	0.548947497
109	82.35014899	0.5488917436
110	82.34894133	0.5488476518
111	82.34354205	0.5488112245
112	82.32279154	0.5487541429
113	82.31188523	0.5486946297
114	82.31097316	0.5486514911
115	82.29859314	0.5485913853
116	82.27745549	0.5485438431
117	82.26364895	0.5484996461
118	82.25782338	0.5484685558
119	82.23653985	0.5484273418
120	82.23618558	0.5484002982
121	82.22099147	0.5483560291
122	82.21853283	0.5483298217
123	82.21873018	0.5482967995
124	82.21821544	0.548246949
125	82.21301308	0.5482064688
126	82.21030864	0.5481783027
127	82.21723732	0.5481438696
128	82.21045372	0.5481105766
129	82.21242641	0.54806321
130	82.20765065	0.5480164924
131	82.21133306	0.5479896053
132	82.2082352	0.5479546272
133	82.20496038	0.5479184306
134	82.1915146	0.5478752451
135	82.17911688	0.5478335594
136	82.1891203	0.5477876111
137	82.18519944	0.5477494991
138	82.17635959	0.5476945795
139	82.17336953	0.5476530775
140	82.1795805	0.5476149693
141	82.17290596	0.5475875872
142	82.17669489	0.5475414075
143	82.17034186	0.5475039313
144	82.17742806	0.5474740066
145	82.17117143	0.5474268346
146	82.15667087	0.5473834027
147	82.14349316	0.54733555
148	82.13062969	0.5472986278
149	82.14312473	0.5472561569
150	82.12653517	0.5472130904
151	82.12573794	0.5471856963
152	82.12791749	0.5471556171
153	82.12250826	0.5471185332
154	82.11302888	0.5470886968
155	82.11191002	0.5470559596
156	82.10203597	0.5470313916
157	82.09623587	0.5469965386
158	82.08174871	0.5469597047
159	82.07730453	0.5469316961
160	82.0730108	0.5468967489
161	82.07454652	0.5468521029
162	82.07125439	0.546828272
163	82.08094373	0.5468002007
164	82.07756203	0.5467739905
165	82.06429502	0.546730194
166	82.05632987	0.5467034147
167	82.05861076	0.546663012
168	82.05432617	0.5466301794
169	82.05375511	0.5465991806
170	82.05477867	0.5465742643
171	82.05185041	0.5465472926
172	82.0489897	0.546516549
173	82.04447256	0.5464915025
174	82.03690971	0.546464604
175	82.04889344	0.5464340376
176	82.0375973	0.5464083701
177	82.03666569	0.5463825289
178	82.03629908	0.5463575408
179	82.04242716	0.5463279982
180	82.03471013	0.5463012198
181	82.034153	0.5462765476
182	82.03057702	0.5462485641
183	82.0165963	0.5462251127
184	82.01034944	0.5462004573
185	82.00978808	0.5461838309
186	82.00691833	0.546158513
187	82.00054191	0.546128834
188	81.99784932	0.5460935627
189	82.00784179	0.5460578928
190	82.00196861	0.5460359395
191	82.00185071	0.5460184971
192	81.98881525	0.5459831227
193	81.98323358	0.545964038
194	81.97706844	0.5459429252
195	81.97484908	0.5459244179
196	81.96662978	0.5459046787
197	81.97723222	0.5458708153
198	81.9756511	0.5458496857
199	81.98501092	0.5458189052
200	81.98244736	0.5457922768
201	81.9854921	0.5457703018
202	81.97034804	0.5457445902
203	81.97657904	0.5457239395
204	81.97227175	0.5456917937
205	81.96166595	0.5456687706
206	81.9582822	0.545648388
207	81.95696704	0.5456246182
208	81.95795362	0.5455972824
209	81.94957712	0.5455675015
210	81.94622861	0.5455455967
211	81.94217293	0.5455284463
212	81.92989889	0.545499671
213	81.92834111	0.5454799991
214	81.92311883	0.5454566491
215	81.9207261	0.5454318143
216	81.91751464	0.5454079464
217	81.91631203	0.5453953187
218	81.91499127	0.5453775418
219	81.91183742	0.5453606907
220	81.90301689	0.5453429211
221	81.91221257	0.5453192367
222	81.91746429	0.5453011676
223	81.91273379	0.5452854183
224	81.92093301	0.545268117
225	81.92611937	0.5452438302
226	81.91984944	0.5452275579
227	81.91770923	0.5452143024
228	81.92320498	0.5451913425
229	81.91190036	0.5451692047
230	81.90878213	0.5451583361
231	81.90412985	0.5451385686
232	81.89953837	0.5451183284
233	81.89583191	0.54509369
234	81.89767752	0.5450656251
235	81.89217235	0.5450480489
236	81.88597251	0.5450170528
237	81.88222027	0.544991192
238	81.89025155	0.5449723211
239	81.88703042	0.5449499728
240	81.8820563	0.5449311058
241	81.88029739	0.5449109653
242	81.88023989	0.5448948333
243	81.87835951	0.5448737855
244	81.87962252	0.5448587298
245	81.88079981	0.544841954
246	81.87810238	0.5448230481
247	81.87763661	0.5448040738
248	81.87667406	0.5447848585
249	81.87659606	0.5447720301
250	81.87769175	0.5447519138
251	81.8704505	0.5447329749
252	81.86669848	0.544712374
253	81.8584216	0.544695319
254	81.85564628	0.5446812817
255	81.85375147	0.544664637
256	81.85076912	0.5446398638
257	81.85014707	0.5446233501
258	81.84607296	0.5446044378
259	81.84509312	0.5445921706
260	81.84483533	0.5445765476
261	81.84813879	0.5445601327
262	81.82876174	0.5445426615
263	81.83101795	0.5445224988
264	81.83002819	0.5445044168
265	81.82924882	0.5444783841
266	81.82861775	0.5444550822
267	81.82682913	0.5444374958
268	81.82322165	0.5444151197
269	81.82537063	0.5444046623
270	81.8194774	0.5443865456
271	81.81926296	0.5443736025
272	81.81532547	0.5443563702
273	81.81335887	0.5443374594
274	81.80665888	0.5443133994
275	81.80736999	0.544303985
276	81.80458167	0.5442850226
277	81.79808822	0.5442685505
278	81.79709466	0.5442501001
279	81.79583141	0.5442371855
280	81.79211466	0.5442247262
281	81.79025463	0.5442125715
282	81.78605763	0.5441975287
283	81.78943288	0.5441767161
284	81.77730215	0.5441489931
285	81.7746472	0.5441303435
286	81.77380931	0.5441094075
287	81.77040499	0.5440890633
288	81.7698791	0.5440797403
289	81.76685909	0.5440620022
290	81.76589473	0.544048399
291	81.76436541	0.5440273659
292	81.76115204	0.5440109845
293	81.75902675	0.5439919035
294	81.75258026	0.5439761746
295	81.75091114	0.5439646687
296	81.74615017	0.5439514089
297	81.74488404	0.5439390289
298	81.73498424	0.5439042987
299	81.73630444	0.5438738865
300	81.73285568	0.5438562
301	81.73288915	0.5438424248
302	81.72754212	0.5438233528
303	81.72587421	0.5438109082
304	81.72402835	0.5437999076
305	81.72450445	0.5437792105
306	81.72206302	0.5437632792
307	81.72580585	0.5437498132
308	81.72804226	0.5437344135
309	81.72693503	0.5437166545
310	81.71966573	0.5436907864
311	81.71971949	0.5436742258
312	81.71887032	0.5436632328
313	81.7152636	0.543642262
314	81.71006393	0.5436271877
315	81.70523705	0.5436079033
316	81.70230226	0.5435862033
317	81.7003317	0.5435778927
318	81.70010694	0.5435690047
319	81.70661411	0.5435540266
320	81.70887173	0.5435447352
321	81.70608141	0.5435357501
322	81.70623553	0.5435198429
323	81.70306767	0.5435011591
324	81.7024622	0.5434868513
325	81.70106188	0.5434704904
326	81.70099896	0.5434600823
327	81.69947407	0.5434474847
328	81.69486884	0.543431684
329	81.69259074	0.5434146966
330	81.69537138	0.5433954805
331	81.69234889	0.5433815062
332	81.69134298	0.5433670064
333	81.68957592	0.5433529045
334	81.69247544	0.5433398165
335	81.68816957	0.5433275045
336	81.68633669	0.5433104799
337	81.68255449	0.543291668
338	81.6811032	0.5432814428
339	81.68719982	0.5432644141
340	81.68280236	0.5432488054
341	81.68249363	0.5432369114
342	81.6830966	0.5432270904
343	81.67966675	0.5432149973
344	81.67839112	0.5432031376
345	81.67886911	0.5431966107
346	81.67248943	0.5431679949
347	81.67026513	0.5431565762
348	81.66965169	0.5431443174
349	81.67096532	0.5431315801
350	81.66963176	0.5431250875
351	81.66708363	0.5431095909
352	81.6660244	0.5430936949
353	81.66090085	0.5430724056
354	81.66194299	0.5430578165
355	81.66213737	0.5430497914
356	81.66022812	0.5430340278
357	81.66274081	0.5430224827
358	81.66380953	0.5430091877
359	81.66136522	0.5429947813
360	81.65711726	0.5429757054
361	81.65659105	0.5429648415
362	81.65046785	0.5429459546
363	81.65176181	0.5429360145
364	81.65038309	0.5429264746
365	81.64879376	0.5429075458
366	81.64732256	0.5428958516
367	81.64438185	0.5428831308
368	81.64117722	0.5428719296
369	81.6397485	0.5428626962
370	81.63776681	0.5428466416
371	81.63371294	0.5428307216
372	81.63218614	0.5428126861
373	81.63554359	0.5428020136
374	81.63212481	0.5427887672
375	81.6340215	0.5427729905
376	81.63303734	0.5427585929
377	81.63306199	0.5427414939
378	81.63361544	0.5427314752
379	81.63168791	0.5427230968
380	81.63310298	0.5427169145
381	81.6292662	0.5427047552
382	81.6297373	0.5426963883
383	81.63104823	0.5426840515
384	81.62874659	0.5426686679
385	81.62727285	0.5426617836
386	81.62958326	0.542647915
387	81.62900724	0.5426378303
388	81.62930688	0.542620224
389	81.62925609	0.542608971
390	81.62975729	0.5425954095
391	81.62908391	0.5425852335
392	81.62628599	0.542575715
393	81.62534672	0.5425656541
394	81.62615881	0.5425535988
395	81.62363942	0.542538918
396	81.62172291	0.542526907
397	81.6177464	0.5425108901
398	81.61755078	0.5424962345
399	81.61556687	0.5424859933
400	81.61270047	0.5424741371
401	81.61144434	0.5424634708
402	81.60705345	0.5424538103
403	81.60619656	0.5424447052
404	81.60083184	0.542432046
405	81.59990397	0.5424209551
406	81.59892884	0.5424111536
407	81.59828969	0.5423982803
408	81.60185086	0.5423869792
409	81.6016527	0.5423727058
410	81.60037077	0.5423595962
411	81.59854353	0.5423476629
412	81.59951516	0.5423401186
413	81.59807684	0.5423294138
414	81.59553772	0.5423213522
415	81.59476129	0.5423058751
416	81.59267485	0.5422869436
417	81.59353235	0.5422750491
418	81.59190367	0.5422684624
419	81.59422798	0.5422561009
420	81.58770426	0.5422419916
421	81.58358975	0.5422332782
422	81.57911868	0.5422204251
423	81.57702538	0.5422052384
424	81.57438744	0.5421946106
425	81.56733421	0.5421848812
426	81.56693068	0.542176291
427	81.56579339	0.5421639267
428	81.56610576	0.5421526665
429	81.56523766	0.5421368121
430	81.56182813	0.5421266886
431	81.55840266	0.542111453
432	81.5638511	0.5421035383
433	81.5624704	0.5420952135
434	81.56218506	0.5420872507
435	81.56142593	0.5420778827
436	81.56005266	0.5420617679
437	81.55858236	0.5420484389
438	81.55694569	0.5420377948
439	81.55492658	0.5420317362
440	81.55339982	0.5420185282
441	81.55031441	0.5420089256
442	81.55486405	0.5419999477
443	81.55458269	0.5419925105
444	81.55357434	0.5419807333
445	81.55105445	0.541970713
446	81.55063769	0.5419631304
447	81.55542765	0.5419421973
448	81.55530913	0.5419321386
449	81.5547295	0.5419250762
450	81.55348288	0.5419093767
451	81.55018803	0.5418967735
452	81.55219163	0.5418832932
453	81.54926854	0.5418751273
454	81.54842961	0.5418671145
455	81.54728209	0.5418559971
456	81.54427901	0.5418495305
457	81.5443598	0.5418376598
458	81.54552624	0.5418303388
459	81.54095321	0.5418188377
460	81.53865737	0.5418109143
461	81.53612763	0.5417983397
462	81.53419877	0.5417897737
463	81.53146891	0.5417802517
464	81.53084543	0.5417713508
465	81.53014758	0.5417585053
466	81.52801175	0.5417464378
467	81.52797764	0.5417350949
468	81.5250986	0.5417182031
469	81.52696033	0.5417053901
470	81.52544833	0.5416967304
471	81.52518521	0.541689477
472	81.52416953	0.5416782373
473	81.52601975	0.5416714935
474	81.52460784	0.5416638513
475	81.52486958	0.5416599959
476	81.52540755	0.5416489587
477	81.52399773	0.5416433754
478	81.52271717	0.5416342454
479	81.52585036	0.5416248882
480	81.53114426	0.5416138972
481	81.52796462	0.5416025371
482	81.52573666	0.5415874144
483	81.52468366	0.5415728157
484	81.52193125	0.5415622882
485	81.51840822	0.5415507248
486	81.51724652	0.5415416591
487	81.51655727	0.5415327019
488	81.51563281	0.5415198215
489	81.5119838	0.5415042185
490	81.51238066	0.5414972504
491	81.50941906	0.5414846105
492	81.50772487	0.5414699421
493	81.5074454	0.5414595499
494	81.5064593	0.5414503836
495	81.50515823	0.5414384109
496	81.50709015	0.5414313904
497	81.50389204	0.5414252967
498	81.50301815	0.5414151039
499	81.49966622	0.5414044118
500	81.49851689	0.5413932075
501	81.50111147	0.541383828
502	81.49933028	0.5413757321
503	81.49878261	0.5413599741
504	81.49871352	0.5413459689
505	81.49716144	0.5413332524
506	81.49570695	0.5413212616
507	81.49575809	0.5413119374
508	81.49392358	0.5412999295
509	81.49276839	0.5412859979
510	81.48970446	0.5412721958
511	81.48567403	0.5412608108
512	81.48634435	0.5412529023
513	81.48277142	0.5412419946
514	81.48097739	0.5412313008
515	81.4805581	0.541223604
516	81.4784048	0.5412141283
517	81.4760959	0.5412063562
518	81.47080655	0.5411920106
519	81.46708358	0.5411824321
520	81.46345788	0.5411657846
521	81.46232647	0.5411581373
522	81.46167924	0.5411491392
523	81.45891159	0.5411382197
524	81.45722869	0.5411288142
525	81.45675715	0.5411213905
526	81.45923807	0.5411141539
527	81.45658527	0.5410987404
528	81.45801523	0.5410872388
529	81.45379847	0.5410718688
530	81.45370538	0.5410606476
531	81.44667938	0.5410484177
532	81.44858801	0.5410388239
533	81.44831318	0.5410300579
534	81.44563391	0.5410177055
535	81.4467221	0.5410077955
536	81.44456058	0.5409969611
537	81.44421851	0.5409875639
538	81.44152807	0.5409778213
539	81.44115281	0.5409681327
540	81.44183523	0.5409588059
541	81.44310873	0.5409538572
542	81.44536386	0.5409451616
543	81.44299089	0.5409312189
544	81.44123844	0.5409232045
545	81.44120457	0.5409142107
546	81.44051836	0.5409068278
547	81.44002438	0.5408998958
548	81.43883575	0.5408943755
549	81.43794862	0.5408838877
550	81.4398793	0.5408730228
551	81.43921586	0.5408650722
552	81.43787064	0.5408525176
553	81.43635995	0.5408352262
554	81.43609007	0.5408253801
555	81.43250179	0.5408134764
556	81.43015258	0.5407970535
557	81.43110183	0.540788934
558	81.42976665	0.5407779743
559	81.43036364	0.5407657262
560	81.42837255	0.5407539753
561	81.42882964	0.5407439252
562	81.42414112	0.5407357953
563	81.42090368	0.5407249602
564	81.41588736	0.5407093262
565	81.41556303	0.5407004722
566	81.41631562	0.5406927414
567	81.41608095	0.5406799617
568	81.41402005	0.5406727493
569	81.41019079	0.5406626299
570	81.41002394	0.540653464
571	81.41161293	0.5406459731
572	81.40900251	0.5406317287
573	81.40783867	0.5406188784
574	81.40762681	0.5406070458
575	81.40894897	0.5405979119
576	81.40816283	0.5405888911
577	81.40810372	0.5405829222
578	81.40613188	0.5405761434
579	81.40472398	0.5405647893
580	81.40151543	0.5405498667
581	81.40105342	0.5405388142
582	81.40080234	0.5405240857
583	81.39944585	0.540517369
584	81.39805986	0.5405066927
585	81.39776027	0.5404962956
586	81.39582048	0.540487925
587	81.39584627	0.5404763532
588	81.39555719	0.5404675213
589	81.39546428	0.540455894
590	81.39484045	0.5404477754
591	81.39375369	0.5404417018
592	81.39169759	0.5404341603
593	81.39090617	0.5404262126
594	81.39192986	0.5404195444
595	81.39171116	0.5404091444
596	81.39041395	0.5403962867
597	81.38824033	0.5403873106
598	81.39114117	0.5403763848
599	81.39166322	0.5403687995
600	81.38986404	0.5403587287
601	81.38822014	0.5403484708
602	81.38687983	0.5403411318
603	81.38188523	0.5403260045
604	81.38230643	0.5403173813
605	81.3807876	0.5403090525
606	81.38030957	0.540296268
607	81.37829058	0.5402837526
608	81.37648222	0.5402755716
609	81.37395302	0.5402645638
610	81.37311853	0.540251072
611	81.37439305	0.5402360033
612	81.38135605	0.540220923
613	81.38153191	0.5402154266
614	81.38208321	0.5402033031
615	81.37970829	0.5401953379
616	81.37987501	0.5401884965
617	81.38203183	0.5401772445
618	81.37973859	0.5401697363
619	81.38091524	0.5401623754
620	81.38178017	0.540155837
621	81.38078874	0.540142162
622	81.37842956	0.5401351535
623	81.37707518	0.5401244845
624	81.37331499	0.5401134205
625	81.37409352	0.5401042247
626	81.37513726	0.5400937934
627	81.37499517	0.5400886316
628	81.3764803	0.5400790411
629	81.37587817	0.5400725503
630	81.37555174	0.5400605558
631	81.37405619	0.5400515235
632	81.36947559	0.5400459208
633	81.36724575	0.5400355735
634	81.36563548	0.5400237047
635	81.36354243	0.5400118797
636	81.35930805	0.5400003331
637	81.35823564	0.5399903227
638	81.35671023	0.539982181
639	81.35589398	0.5399730702
640	81.35507437	0.5399620405
641	81.35164581	0.539950398
642	81.34994749	0.5399352987
643	81.34995365	0.5399250458
644	81.34913856	0.5399136104
645	81.34672966	0.5399070947
646	81.34652437	0.5398992944
647	81.34467173	0.5398887272
648	81.34027249	0.5398761486
649	81.33982908	0.5398691371
650	81.33819271	0.5398620636
651	81.33760449	0.5398553988
652	81.33656144	0.5398500619
653	81.33441121	0.5398373806
654	81.33359886	0.5398215799
655	81.33357352	0.5398104654
656	81.33306389	0.5398043888
657	81.33149696	0.5397944337
658	81.33089692	0.5397852821
659	81.3283566	0.5397756074
660	81.32770375	0.5397698056
661	81.32554287	0.5397573019
662	81.32861086	0.5397461359
663	81.32846518	0.5397390437
664	81.32987592	0.5397325218
665	81.32910562	0.5397268691
666	81.32930826	0.539722672
667	81.32641153	0.5397066012
668	81.32680706	0.5397019892
669	81.32565434	0.539695478
670	81.32498936	0.5396852496
671	81.32422359	0.5396764741
672	81.32260333	0.5396681509
673	81.32137744	0.5396605626
674	81.32004558	0.5396547457
675	81.31770711	0.5396467515
676	81.31535141	0.5396387133
677	81.31378888	0.5396321944
678	81.31370362	0.5396209763
679	81.31085076	0.539610012
680	81.30947685	0.5395994387
681	81.30813037	0.5395928772
682	81.30619348	0.5395864926
683	81.3054908	0.5395780596
684	81.30161067	0.5395643549
685	81.30077696	0.539548163
686	81.29824285	0.5395371982
687	81.29803401	0.5395268479
688	81.29750324	0.539521303
689	81.29562231	0.539513872
690	81.29303878	0.5395040288
691	81.29357426	0.5394961262
692	81.2926227	0.5394851658
693	81.29222717	0.5394764788
694	81.29099644	0.5394626197
695	81.29078864	0.5394532285
696	81.2911479	0.5394475107
697	81.28904521	0.5394396919
698	81.28809447	0.5394271121
699	81.28478285	0.5394185892
700	81.28620888	0.539410846
701	81.28477436	0.5394008608
702	81.28139663	0.5393909291
703	81.2809215	0.5393830624
704	81.27739216	0.5393693662
705	81.27621141	0.5393618957
706	81.27655571	0.5393530324
707	81.27628842	0.5393436425
708	81.27576035	0.5393380595
709	81.27485991	0.5393309175
710	81.27578471	0.5393216089
711	81.27709084	0.5393117774
712	81.27649991	0.539305634
713	81.27541034	0.539294828
714	81.27653943	0.539285216
715	81.27353107	0.5392751632
716	81.27249134	0.5392595215
717	81.27137538	0.5392534309
718	81.27139365	0.5392459362
719	81.27080129	0.5392370696
720	81.27089426	0.5392266565
721	81.27011264	0.5392162877
722	81.26641152	0.5392045005
723	81.26624311	0.5391988602
724	81.26520092	0.5391897493
725	81.26069881	0.5391827747
726	81.25999421	0.5391706746
727	81.25771842	0.5391629237
728	81.25638199	0.5391492854
729	81.25310022	0.5391382062
730	81.25243136	0.5391291623
731	81.25255172	0.5391204876
732	81.24953087	0.5391080235
733	81.24865214	0.539101299
734	81.24813928	0.5390934957
735	81.24859316	0.5390852952
736	81.24691678	0.5390763394
737	81.24607924	0.5390721073
738	81.24747457	0.5390631352
739	81.24558641	0.5390572607
740	81.24315352	0.5390466592
741	81.24276333	0.5390409611
742	81.24304406	0.5390341027
743	81.23945511	0.5390245105
744	81.23725517	0.5390167216
745	81.23576083	0.5390106853
746	81.23495848	0.5390001818
747	81.23644007	0.5389919516
748	81.23349326	0.5389804747
749	81.23260981	0.5389743273
750	81.23199568	0.5389686843
751	81.23106641	0.538961998
752	81.23534452	0.5389543265
753	81.23425228	0.5389467862
754	81.23185541	0.53893697
755	81.23187589	0.5389309884
756	81.23122329	0.5389212045
757	81.22742085	0.5389120963
758	81.22699208	0.5389051649
759	81.22670323	0.5388991846
760	81.22633364	0.5388909709
761	81.22647626	0.5388868591
762	81.22446563	0.5388802571
763	81.22513294	0.5388724843
764	81.2244117	0.5388658794
765	81.22386266	0.5388596035
766	81.22397305	0.5388529948
767	81.22381318	0.5388464957
768	81.22362511	0.5388386159
769	81.2235618	0.5388269049
770	81.22273515	0.5388224009
771	81.22275159	0.5388158368
772	81.22183719	0.538808945
773	81.2257758	0.5388009319
774	81.22486129	0.5387926496
775	81.22416142	0.5387812872
776	81.22418292	0.5387707945
777	81.22218634	0.5387636806
778	81.22089778	0.5387583474
779	81.21761694	0.5387440013
780	81.21705184	0.538738947
781	81.2205292	0.5387295195
782	81.21769137	0.5387225652
783	81.21913593	0.5387139025
784	81.21789254	0.538707503
785	81.22047556	0.5387013513
786	81.22261917	0.538695124
787	81.2231358	0.5386885711
788	81.22250891	0.5386802305
789	81.22123459	0.5386743171
790	81.21976153	0.5386680192
791	81.21937062	0.5386633188
792	81.21795531	0.5386528836
793	81.2172313	0.5386434172
794	81.21803782	0.5386374895
795	81.22106506	0.5386270672
796	81.22037009	0.5386151799
797	81.2197103	0.5386053038
798	81.21897353	0.5385955384
799	81.21880023	0.5385842259
800	81.2184059	0.5385768
801	81.21767388	0.5385668122
802	81.21981441	0.5385597227
803	81.21550325	0.5385524181
804	81.21567986	0.5385435269
805	81.21467365	0.5385348586
806	81.21436226	0.5385284912
807	81.21494606	0.5385197438
808	81.211403	0.538510831
809	81.21112151	0.538501034
810	81.20947357	0.5384947966
811	81.20778829	0.5384870152
812	81.20806311	0.5384797078
813	81.20967917	0.5384732047
814	81.20874081	0.5384672955
815	81.20965713	0.5384583864
816	81.20913631	0.5384507812
817	81.20640817	0.5384433
818	81.20559775	0.5384366136
819	81.20122029	0.5384232192
820	81.2004909	0.5384169986
821	81.20006559	0.53840688
822	81.19879971	0.5383957145
823	81.19825438	0.5383857133
824	81.19777146	0.5383758478
825	81.19449331	0.5383675946
826	81.1925497	0.538356799
827	81.19157649	0.5383511103
828	81.19512949	0.538342388
829	81.1954799	0.5383281755
830	81.19483137	0.5383235642
831	81.19498326	0.5383164516
832	81.19495126	0.5383078671
833	81.19425638	0.5383000211
834	81.19384364	0.5382906418
835	81.19315976	0.5382849472
836	81.19337574	0.5382754047
837	81.19287828	0.5382682481
838	81.19311123	0.5382612138
839	81.19215561	0.5382470563
840	81.19107628	0.5382344412
841	81.18620444	0.5382237663
842	81.18351973	0.5382178408
843	81.18296195	0.5382093325
844	81.18180224	0.5382036937
845	81.18017665	0.5381968194
846	81.17929049	0.538186677
847	81.18004939	0.538176469
848	81.17904719	0.5381661757
849	81.17896151	0.5381578254
850	81.17934336	0.538152562
851	81.17833961	0.5381464665
852	81.17529084	0.538138174
853	81.17465994	0.5381334077
854	81.17351263	0.5381261973
855	81.17300899	0.5381202617
856	81.1727518	0.5381144348
857	81.1724803	0.5381079993
858	81.16855795	0.538100291
859	81.16622316	0.5380906349
860	81.16573736	0.5380798448
861	81.16552964	0.5380747543
862	81.16535106	0.5380661778
863	81.16184721	0.5380543648
864	81.16180622	0.5380424943
865	81.16145838	0.5380374391
866	81.15851002	0.5380244886
867	81.15766162	0.5380188086
868	81.15795681	0.5380100825
869	81.1581305	0.5380000641
870	81.15863011	0.5379907564
871	81.15692874	0.5379828805
872	81.15634002	0.5379741157
873	81.15591206	0.537969011
874	81.15552881	0.5379637147
875	81.1553073	0.5379566226
876	81.15400213	0.5379463913
877	81.15352249	0.5379380398
878	81.15326603	0.5379293589
879	81.15207781	0.5379234847
880	81.15107314	0.5379181937
881	81.1481798	0.5379087182
882	81.14809362	0.5379017021
883	81.14685077	0.5378914984
884	81.14721909	0.537883361
885	81.14429976	0.5378766759
886	81.1434035	0.5378672664
887	81.14213723	0.5378602281
888	81.14204558	0.5378551722
889	81.14110631	0.5378493906
890	81.13799108	0.5378440164
891	81.13739831	0.5378409469
892	81.13734704	0.5378333716
893	81.13591614	0.5378243289
894	81.13580095	0.5378165521
895	81.13573574	0.5378065819
896	81.13599563	0.5377992136
897	81.137432	0.5377895853
898	81.13612501	0.5377852863
899	81.13623209	0.5377751997
900	81.13521504	0.5377687721
901	81.13589314	0.5377644783
902	81.13555276	0.5377557886
903	81.13702725	0.5377499066
904	81.13862715	0.5377417491
905	81.13785376	0.5377330195
906	81.13769829	0.5377276443
907	81.13631929	0.5377207301
908	81.13304167	0.5377084047
909	81.1322478	0.53770097
910	81.13215143	0.5376901805
911	81.13241376	0.5376821868
912	81.13060425	0.5376742856
913	81.1266421	0.5376629811
914	81.12480154	0.5376551362
915	81.121139	0.5376452588
916	81.11867604	0.5376397229
917	81.11793766	0.5376323495
918	81.11679348	0.5376232271
919	81.11686281	0.5376156284
920	81.11652279	0.5376123399
921	81.11678413	0.5376078064
922	81.11553277	0.5375994561
923	81.11486027	0.5375933854
924	81.11449496	0.5375834366
925	81.11435812	0.5375768399
926	81.11347644	0.5375706138
