iter	Passed	Remaining
0	193	193094
1	236	117943
2	278	92458
3	322	80207
4	364	72482
5	409	67789
6	446	63375
7	490	60777
8	531	58473
9	567	56226
10	608	54697
11	648	53398
12	689	52349
13	735	51804
14	775	50906
15	817	50289
16	858	49666
17	901	49199
18	949	49003
19	997	48855
20	1042	48608
21	1085	48274
22	1130	48039
23	1171	47640
24	1210	47209
25	1256	47087
26	1299	46838
27	1342	46586
28	1382	46305
29	1425	46093
30	1468	45900
31	1511	45708
32	1552	45501
33	1598	45411
34	1641	45263
35	1684	45095
36	1728	44975
37	1770	44818
38	1806	44522
39	1848	44375
40	1883	44062
41	1921	43836
42	1961	43657
43	2005	43567
44	2044	43392
45	2087	43302
46	2123	43061
47	2161	42874
48	2202	42743
49	2242	42602
50	2284	42500
51	2324	42384
52	2366	42282
53	2409	42205
54	2454	42170
55	2490	41984
56	2527	41809
57	2563	41627
58	2604	41538
59	2645	41445
60	2683	41311
61	2721	41170
62	2762	41084
63	2799	40946
64	2838	40833
65	2878	40733
66	2917	40628
67	2979	40832
68	3022	40777
69	3067	40751
70	3106	40651
71	3148	40579
72	3193	40556
73	3229	40408
74	3266	40286
75	3305	40185
76	3348	40141
77	3387	40037
78	3421	39892
79	3462	39821
80	3501	39732
81	3540	39631
82	3575	39506
83	3616	39439
84	3654	39339
85	3695	39277
86	3733	39182
87	3773	39106
88	3814	39044
89	3856	38994
90	3893	38888
91	3935	38837
92	3974	38766
93	4014	38693
94	4055	38630
95	4097	38586
96	4142	38559
97	4181	38488
98	4220	38412
99	4262	38361
100	4300	38278
101	4342	38230
102	4383	38178
103	4426	38137
104	4466	38072
105	4510	38040
106	4550	37978
107	4591	37918
108	4636	37901
109	4681	37876
110	4717	37784
111	4756	37709
112	4798	37663
113	4842	37635
114	4884	37589
115	4930	37572
116	4974	37543
117	5020	37526
118	5061	37472
119	5106	37444
120	5151	37424
121	5193	37378
122	5231	37300
123	5268	37218
124	5309	37163
125	5354	37142
126	5397	37100
127	5435	37030
128	5474	36961
129	5514	36906
130	5563	36907
131	5603	36845
132	5640	36770
133	5680	36713
134	5720	36650
135	5762	36611
136	5806	36575
137	5844	36508
138	5887	36465
139	5927	36410
140	5970	36376
141	6010	36317
142	6055	36289
