iter	Accuracy	MultiClass
0	0.2433383992	3.453770501
1	0.3090298886	3.210880509
2	0.3623353597	3.002898026
3	0.3898302938	2.842741776
4	0.4223277609	2.696788128
5	0.443908308	2.586320803
6	0.4683004053	2.471891029
7	0.4872087133	2.373025899
8	0.5064842958	2.283973096
9	0.5231636272	2.202363934
10	0.5375633232	2.12964535
11	0.5502659574	2.060836183
12	0.5611702128	2.001360657
13	0.573556231	1.943506404
14	0.5812436677	1.890697228
15	0.5886904762	1.850854467
16	0.596618541	1.801785121
17	0.6056231003	1.753233045
18	0.6124366768	1.710579724
19	0.6191869301	1.670153005
20	0.6262284701	1.631570277
21	0.6325481256	1.596032505
22	0.6377026342	1.563808416
23	0.644718845	1.53101422
24	0.6507598784	1.49869386
25	0.6538753799	1.475081924
26	0.6586752786	1.448632615
27	0.6629432624	1.42372572
28	0.6669199595	1.397621521
29	0.6713905775	1.373863546
30	0.6763424519	1.348161253
31	0.6797998987	1.329332494
32	0.6838905775	1.306100696
33	0.6870314083	1.286747344
34	0.691654002	1.263293024
35	0.6948834853	1.246047148
36	0.6986828774	1.226582091
37	0.7028242148	1.208340259
38	0.7061550152	1.192965188
39	0.7089539007	1.178013393
40	0.7124746707	1.159678655
41	0.7157421479	1.144192273
42	0.7180091185	1.130673561
43	0.7212006079	1.115873049
44	0.7235688956	1.103544021
45	0.7252279635	1.09140625
46	0.7276722391	1.077428247
47	0.7307497467	1.062650887
48	0.7342705167	1.048626579
49	0.7359929078	1.037961864
50	0.738310537	1.02646425
51	0.7403368794	1.015558016
52	0.7428444782	1.003108477
53	0.7455040527	0.9916387649
54	0.7475683891	0.9816637775
55	0.7493414387	0.9722940215
56	0.750316616	0.9657080128
57	0.752710233	0.9542459196
58	0.7543059777	0.9454419168
59	0.756268997	0.937672061
60	0.7574974671	0.9301096877
61	0.7590425532	0.9226569426
62	0.7612715299	0.9138789617
63	0.762993921	0.9066122285
64	0.7649316109	0.8973557616
65	0.7660714286	0.8909946492
66	0.7680217832	0.8830773691
67	0.7694782168	0.8759067091
68	0.771301925	0.8679290741
69	0.772112462	0.8625574856
70	0.7735688956	0.8574032738
71	0.7745820669	0.8511371462
72	0.7757092199	0.8468272108
73	0.7762158055	0.8426278931
74	0.7775075988	0.8359467017
75	0.7785460993	0.8308264271
