iter	Passed	Remaining
0	254	635204
1	481	601475
2	709	590764
3	926	578413
4	1140	569152
5	1350	561341
6	1561	555945
7	1776	553308
8	1991	551198
9	2205	549230
10	2419	547441
11	2635	546371
12	2841	543675
13	3055	542623
14	3269	541722
15	3473	539305
16	3688	538665
17	3906	538613
18	4124	538513
19	4343	538532
20	4559	538240
21	4771	537425
22	4980	536351
23	5186	535093
24	5406	535272
25	5609	533728
26	5819	533052
27	6034	532739
28	6248	532414
29	6461	531991
30	6679	531971
31	6877	530448
32	7093	530306
33	7308	530050
34	7527	530159
35	7740	529816
36	7966	530292
37	8180	530034
38	8392	529604
39	8601	528966
40	8824	529254
41	9034	528735
42	9241	528051
43	9451	527579
44	9655	526736
45	9856	525838
46	10084	526348
47	10306	526502
48	10526	526550
49	10733	525948
50	10944	525546
51	11150	524916
52	11367	524816
53	11575	524321
54	11781	523727
55	11998	523636
56	12200	522911
57	12425	523159
58	12625	522343
59	12832	521839
60	13045	521621
61	13261	521459
62	13472	521148
63	13676	520566
64	13898	520677
65	14102	520086
66	14327	520288
67	14530	519664
68	14749	519658
69	14949	518962
70	15140	517978
71	15341	517364
72	15542	516719
73	15744	516167
74	15947	515650
75	16158	515379
76	16365	514986
77	16557	514142
78	16771	513981
79	16983	513751
80	17185	513242
81	17391	512845
82	17585	512086
83	17792	511759
84	18010	511718
85	18213	511249
86	18431	511218
87	18628	510599
88	18835	510244
89	19025	509460
90	19205	508430
91	19408	507984
92	19596	507201
93	19786	506449
94	19965	505433
95	20164	504944
96	20341	503923
97	20535	503324
98	20727	502698
99	20924	502195
100	21120	501659
101	21317	501167
102	21525	500941
103	21722	500457
104	21915	499875
105	22117	499513
106	22312	498997
107	22507	498509
108	22694	497811
109	22834	496140
110	23043	495945
111	23231	495335
112	23427	494878
113	23632	494614
114	23831	494236
115	24035	493972
116	24246	493837
117	24449	493542
118	24646	493132
119	24851	492882
120	24975	491046
121	25173	490668
122	25364	490168
123	25541	489409
124	25726	488809
125	25923	488429
126	26073	487181
127	26211	485726
128	26420	485599
129	26561	484231
130	26749	483736
131	26866	481965
132	26995	480435
133	27174	479806
134	27374	479555
135	27525	478461
136	27679	477426
137	27799	475820
138	27937	474543
139	28135	474279
140	28324	473880
141	28449	472414
142	28614	471630
143	28737	470173
144	28865	468810
145	29061	468563
146	29238	468010
147	29451	468033
148	29572	466613
149	29749	466079
