iter	Accuracy	MultiClass	Precision:class=0	Precision:class=1	Precision:class=2	Precision:class=3	Precision:class=4
0	0.4609133346	1.535519975	0	0	0.4033662822	0.4071272513	0.5791515259
1	0.4602197824	1.479197617	0	0	0.4033662822	0.405306122	0.6030430638
2	0.462997756	1.434054187	0	0	0.4032192825	0.4101024341	0.5882693901
3	0.4637431782	1.397298326	0	0	0.3985764131	0.4122073406	0.5909834633
4	0.4634438799	1.36692237	0	0	0.3985764131	0.4118498723	0.5927799637
5	0.4637431782	1.341463713	0	0	0.3987254732	0.4121802281	0.5908131169
6	0.4641054316	1.319785605	0	0	0.3990245515	0.4119034957	0.595949182
7	0.4644783519	1.301397688	0	0	0.3983676021	0.4130184173	0.5957059431
8	0.4651097856	1.285740161	0	0	0.3988255891	0.4134455743	0.5943530908
9	0.465134884	1.272207004	0	0	0.3990264844	0.4134122187	0.5937783997
10	0.4652476176	1.26059722	0	0	0.3995193575	0.4134563943	0.5937038068
11	0.4653158015	1.250553681	0	0	0.4000119188	0.4134098731	0.5930962919
12	0.4655747333	1.241850709	0	0	0.4011815124	0.4134017272	0.5923707128
13	0.4657297158	1.234208668	0	0	0.4013220099	0.4135244558	0.5934270011
14	0.4656563031	1.227715086	0	0	0.4008019385	0.4136320738	0.5916625082
15	0.4660321515	1.22210089	0	0	0.4013277923	0.4138817471	0.5932347645
16	0.4661394471	1.217098885	0	0	0.4014592014	0.4139235551	0.593926273
17	0.4664069541	1.212774537	0	0	0.4014728437	0.4142078942	0.5938985542
18	0.4666560556	1.208890561	0	0	0.4015253464	0.4143840933	0.5943169085
19	0.4668863334	1.205476657	0.4565217391	0	0.4018151058	0.4147106475	0.5946074977
20	0.4669984395	1.202533348	0.4565217391	0	0.4018706109	0.4148511185	0.5947975135
21	0.4672506783	1.200000502	0.4565217391	0	0.4021893673	0.4150249853	0.5947547793
22	0.4673937392	1.197758484	0.4565217391	0	0.4024665146	0.4151547008	0.5941202194
23	0.4675353359	1.195829149	0.4565217391	0	0.4028208814	0.4152269459	0.5947243585
24	0.467721064	1.194152786	0.4565217391	0	0.4031280558	0.4154025183	0.5945255901
25	0.4677597574	1.192627954	0.4565217391	0	0.4032027617	0.4154036298	0.5949409264
26	0.4678908965	1.191312171	0.4565217391	0	0.4032131527	0.4155291673	0.5949571343
27	0.4680726506	1.189992728	0.4565217391	0	0.4032296393	0.4158148732	0.5947893574
28	0.4682065087	1.188889967	0.4565217391	0	0.4033955941	0.4158386165	0.5951446267
29	0.4683522885	1.187956725	0.4565217391	0	0.4035841852	0.4159041387	0.5952536311
30	0.4685323695	1.18711321	0.4565217391	0	0.4036834021	0.4160489959	0.5953835222
31	0.4686469855	1.186371867	0.4565217391	0	0.403748387	0.4162220611	0.5951484429
32	0.4687436143	1.185745662	0.4565217391	0	0.403975259	0.4162660272	0.5952006037
33	0.4688279031	1.185208661	0.4565217391	0	0.4040484498	0.4163693811	0.5952194751
34	0.4690167684	1.184466899	0.4402985075	0	0.4041165372	0.4165084292	0.5953604047
35	0.4691138156	1.183940042	0.4402985075	0.3125	0.404235985	0.4165824949	0.5956384025
36	0.4691849277	1.183458466	0.4402985075	0.275862069	0.4044701316	0.4165921417	0.59563712
37	0.4692390984	1.183075611	0.4657534247	0.3333333333	0.4045649014	0.4166287433	0.5956258191
38	0.4694273363	1.182619134	0.48	0.3055555556	0.4045406143	0.4168255554	0.5957334143
39	0.4694961477	1.182165899	0.4657534247	0.3055555556	0.4045308986	0.416930637	0.5956463887
40	0.4695277299	1.181874653	0.4950980392	0.2666666667	0.40449078	0.4170019879	0.5954183354
41	0.4695929857	1.181524217	0.4725738397	0.3082191781	0.4046588756	0.4170140914	0.5955685373
42	0.4697410662	1.181160918	0.4768518519	0.3120567376	0.404916369	0.4171456735	0.5958143698
43	0.4698755517	1.18077367	0.4695652174	0.3128834356	0.4049065819	0.4173185225	0.5958169576
44	0.4700798945	1.180360697	0.4713114754	0.3184357542	0.4052545605	0.4174178838	0.5960410648
45	0.4702263017	1.179890416	0.4615384615	0.3116883117	0.4052533567	0.4175845488	0.5961271255
46	0.4703143553	1.179571458	0.4577464789	0.3431635389	0.4052822186	0.4176784939	0.5961258275
47	0.4704576252	1.179256473	0.4567474048	0.3323353293	0.4054446319	0.4177548885	0.5963150625
48	0.470531038	1.179069908	0.4493243243	0.3353535354	0.4056047954	0.4178142421	0.5962345112
49	0.470610098	1.178864624	0.4470198675	0.328358209	0.4056991687	0.4178587177	0.5964479115
50	0.4707058902	1.178616882	0.4507936508	0.3294930876	0.4057457455	0.4179215251	0.5966621542
51	0.4708125583	1.178390474	0.4495412844	0.3497652582	0.4058484911	0.4179743517	0.5968011362
52	0.4708958013	1.178109267	0.4301369863	0.3441860465	0.4058071122	0.4180667667	0.5968187208
53	0.4710620782	1.17767381	0.4244791667	0.3505291005	0.4060789561	0.418218443	0.5968755333
54	0.4711536873	1.177511507	0.5240310078	0.351452671	0.4062196228	0.4182946885	0.5969150562
55	0.4712452964	1.177301413	0.5186846039	0.3446379468	0.4062352887	0.4184168114	0.5969015674
56	0.4712948657	1.177157515	0.5195599022	0.3492496589	0.4063760142	0.4184430305	0.5969555551
57	0.4713603307	1.176916571	0.508988764	0.356969697	0.4063416235	0.4185014051	0.5969999148
58	0.4714914698	1.176737117	0.5067114094	0.358629131	0.4064182484	0.4185881771	0.5971728824
59	0.4715573531	1.17658956	0.5107344633	0.3597785978	0.4064937004	0.4186276949	0.5973383989
60	0.4717177736	1.176241424	0.4973544974	0.3536201469	0.4068044137	0.418745108	0.5974454002
61	0.4718432656	1.1759461	0.4989711934	0.3494516451	0.4069295012	0.4188405503	0.5976232485
62	0.4719704307	1.175504472	0.4970873786	0.3480441324	0.4069335302	0.4189294679	0.5979078531
63	0.4720685236	1.17523958	0.4893617021	0.3460986118	0.4069563331	0.4190395965	0.5979329059
64	0.4721582504	1.175001563	0.4850352113	0.3448436771	0.4070173236	0.4191350422	0.5980137984
65	0.4722377286	1.174915915	0.519278607	0.3368780858	0.4072256198	0.4192021298	0.5979776744
66	0.4723799528	1.174681768	0.5165521549	0.3371876166	0.4074185436	0.4193015879	0.5981318844
67	0.4724631958	1.174433399	0.5159509202	0.3382022472	0.4074197745	0.419361027	0.598356777
68	0.4725255235	1.174344299	0.5399296836	0.340161182	0.4076556943	0.4193936491	0.5982849317
