iter	Passed	Remaining
0	222	222606
1	427	213470
2	631	210030
3	829	206522
4	1057	210515
5	1259	208715
6	1462	207469
7	1692	209832
8	1934	213007
9	2158	213693
10	2380	213989
11	2584	212766
12	2794	212180
13	3005	211700
14	3203	210357
15	3428	210830
16	3659	211631
17	3920	213909
18	4151	214365
19	4399	215564
20	4620	215406
21	4842	215288
22	5068	215283
23	5340	217173
24	5610	218817
25	5842	218876
26	6060	218403
27	6310	219048
28	6521	218343
29	6759	218569
30	6989	218476
31	7217	218343
32	7435	217874
33	7664	217757
34	7884	217399
35	8126	217605
36	8327	216747
37	8530	215967
38	8729	215109
39	8998	215975
40	9197	215128
41	9414	214742
42	9699	215864
43	9972	216665
44	10162	215676
45	10476	217267
46	10695	216860
47	10893	216058
48	11108	215599
49	11303	214764
50	11512	214227
51	11684	213021
52	11929	213155
53	12202	213777
54	12395	212978
55	12611	212599
56	12820	212107
57	13054	212021
58	13229	210991
59	13447	210684
60	13723	211251
61	13970	211366
62	14203	211247
63	14474	211683
64	14781	212626
65	14939	211412
66	15170	211255
67	15397	211034
68	15573	210125
69	15772	209549
70	16047	209977
71	16320	210358
72	16549	210153
73	16787	210067
74	17009	209784
75	17264	209899
76	17496	209730
77	17704	209275
78	17908	208785
79	18116	208340
80	18341	208102
81	18535	207505
82	18690	206492
83	18939	206529
84	19161	206269
85	19363	205790
86	19571	205387
87	19760	204791
88	20020	204931
89	20305	205311
90	20531	205093
91	20712	204426
92	20915	203985
93	21127	203632
94	21331	203206
95	21538	202819
96	21722	202223
97	21918	201737
98	22127	201383
99	22339	201059
100	22587	201047
101	22765	200428
102	22973	200073
103	23138	199348
104	23334	198896
105	23572	198813
106	23731	198056
107	23992	198158
108	24190	197737
109	24371	197184
110	24544	196576
111	24751	196243
112	24997	196221
113	25244	196200
114	25491	196175
115	25671	195635
116	25872	195259
117	26047	194694
118	26261	194424
119	26510	194406
120	26712	194050
121	26929	193801
122	27193	193893
123	27418	193697
124	27662	193635
125	27835	193081
126	27970	192271
127	28167	191888
128	28360	191489
129	28582	191282
130	28800	191052
131	29051	191034
132	29247	190659
133	29480	190521
134	29664	190071
135	29904	189981
136	30170	190054
137	30346	189552
138	30614	189636
139	30841	189454
140	31001	188865
141	31197	188502
142	31361	187948
143	31556	187586
144	31794	187476
145	32029	187347
146	32286	187348
147	32485	187010
148	32679	186647
149	32819	185977
150	32998	185533
151	33227	185372
152	33489	185397
153	33715	185215
154	33956	185116
155	34140	184707
156	34347	184427
157	34520	183961
158	34738	183740
159	34950	183492
160	35142	183135
161	35385	183042
162	35573	182668
163	35774	182364
164	36064	182510
165	36264	182198
166	36486	181996
167	36741	181955
168	36943	181657
169	37174	181500
170	37393	181282
171	37568	180854
172	37729	180361
173	37883	179837
174	38076	179503
175	38271	179180
176	38517	179097
177	38695	178693
178	38856	178220
179	39062	177949
180	39249	177598
181	39481	177452
182	39715	177310
183	39951	177175
184	40139	176832
185	40298	176359
186	40476	175975
187	40742	175972
188	40953	175729
189	41157	175462
190	41400	175354
191	41614	175127
192	41822	174875
193	42003	174510
194	42225	174316
195	42442	174099
196	42626	173751
197	42817	173434
198	43033	173215
199	43240	172962
200	43486	172864
201	43640	172402
202	43837	172112
203	44041	171848
204	44273	171694
205	44531	171640
206	44732	171367
207	44894	170945
208	45069	170572
209	45217	170105
210	45402	169774
211	45549	169305
212	45821	169302
213	46056	169161
214	46213	168733
215	46445	168579
216	46638	168285
217	46831	167991
218	47036	167742
219	47178	167268
220	47382	167017
221	47583	166757
222	47794	166531
223	47990	166251
224	48203	166032
225	48396	165747
226	48562	165368
227	48850	165405
228	49080	165245
229	49294	165028
230	49516	164839
231	49738	164651
232	49913	164307
233	50120	164068
234	50305	163759
235	50496	163470
236	50685	163178
237	50863	162847
238	51044	162531
239	51235	162245
240	51458	162061
241	51653	161790
242	51836	161482
243	52010	161147
244	52165	160753
245	52349	160452
246	52592	160331
247	52828	160190
248	53123	160224
249	53304	159912
250	53524	159720
251	53719	159451
252	53976	159367
253	54194	159168
254	54385	158891
255	54591	158655
256	54825	158504
257	55049	158319
258	55248	158066
259	55459	157845
260	55688	157676
261	55904	157471
262	56123	157274
263	56312	156992
264	56498	156703
265	56735	156555
266	56917	156256
267	57148	156091
268	57385	155943
269	57599	155732
270	57760	155378
271	57963	155138
272	58177	154927
273	58374	154670
274	58625	154558
275	58812	154277
276	59018	154045
277	59234	153840
278	59445	153621
279	59662	153417
280	59839	153112
281	60038	152865
282	60256	152664
283	60499	152527
284	60722	152339
285	60879	151985
286	61141	151894
287	61369	151718
288	61566	151465
289	61725	151121
290	61939	150910
291	62118	150616
292	62366	150488
293	62548	150200
294	62732	149920
295	62910	149624
296	63150	149476
297	63399	149351
298	63584	149073
299	63833	148943
300	64013	148655
301	64207	148400
302	64403	148150
303	64596	147892
304	64850	147773
305	65046	147524
306	65265	147325
307	65448	147046
308	65632	146770
309	65841	146550
310	66048	146325
311	66251	146093
312	66451	145852
313	66654	145621
314	66856	145386
315	67104	145251
316	67355	145122
317	67500	144764
318	67736	144602
319	67965	144427
320	68161	144179
321	68347	143912
322	68508	143592
323	68695	143327
324	68939	143182
325	69079	142820
326	69302	142631
327	69514	142419
328	69704	142163
329	69915	141949
330	70073	141629
331	70330	141507
332	70536	141284
333	70745	141067
334	70963	140867
335	71137	140580
336	71373	140417
337	71570	140177
338	71711	139827
339	71929	139628
340	72182	139495
341	72402	139301
342	72576	139017
343	72791	138811
344	73015	138623
345	73230	138418
346	73448	138219
347	73682	138049
348	73880	137811
349	74068	137555
350	74339	137453
351	74556	137251
352	74782	137065
353	74960	136792
354	75193	136618
355	75408	136412
356	75642	136241
357	75796	135926
358	76040	135771
359	76274	135599
360	76511	135431
361	76728	135228
362	76892	134932
363	77144	134790
364	77326	134526
365	77502	134253
366	77733	134073
367	77966	133899
368	78163	133662
369	78388	133471
370	78636	133321
371	78825	133071
372	79017	132826
373	79174	132522
374	79408	132346
375	79613	132125
376	79799	131870
377	80017	131668
378	80218	131439
379	80395	131171
380	80629	130996
381	80820	130750
382	81012	130507
383	81251	130341
384	81466	130135
385	81614	129822
386	81795	129561
387	82056	129428
388	82231	129159
389	82453	128965
390	82633	128704
391	82827	128466
392	83045	128266
393	83238	128027
394	83415	127762
395	83613	127532
396	83832	127331
397	84048	127128
398	84233	126877
399	84389	126584
400	84609	126387
401	84800	126146
402	84994	125909
403	85213	125710
404	85446	125532
405	85704	125390
406	85919	125184
407	86123	124963
408	86310	124718
409	86517	124501
410	86748	124318
411	86968	124119
412	87146	123862
413	87322	123601
414	87487	123325
415	87706	123126
416	87949	122960
417	88175	122770
418	88438	122631
419	88653	122426
420	88902	122267
421	89086	122018
422	89302	121814
423	89502	121588
424	89679	121330
425	89903	121138
426	90052	120843
427	90262	120630
428	90421	120351
429	90664	120183
430	90883	119983
431	91147	119841
432	91384	119664
433	91587	119443
434	91817	119257
435	92045	119068
436	92271	118875
437	92487	118670
438	92653	118401
439	92895	118230
440	93056	117956
441	93330	117824
442	93532	117601
443	93741	117387
444	93999	117235
445	94231	117049
446	94446	116843
447	94651	116624
448	94852	116400
449	95027	116144
450	95200	115887
451	95387	115646
452	95571	115402
453	95755	115159
454	95924	114898
455	96102	114648
456	96298	114420
457	96546	114253
